,CustomerId,Surname,CreditScore,Geography,Gender,Age,EstimatedSalary,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
0,15634602,Hargrave,619,France,Female,42,101348.88,0.0,1,1,2,1,1
1,15647311,Hill,608,Spain,Female,41,112542.58,83807.86,1,1,1,1,0
2,15619304,Onio,502,France,Female,42,113931.57,159660.8,3,0,8,0,1
3,15701354,Boni,699,France,Female,39,93826.63,0.0,2,0,1,0,0
4,15737888,Mitchell,850,Spain,Female,43,79084.1,125510.82,1,1,2,1,0
5,15574012,Chu,645,Spain,Male,44,149756.71,113755.78,2,0,8,0,1
6,15592531,Bartlett,822,France,Male,50,10062.8,0.0,2,1,7,1,0
7,15656148,Obinna,376,Germany,Female,29,119346.88,115046.74,4,0,4,0,1
8,15792365,He,501,France,Male,44,74940.5,142051.07,2,1,4,1,0
9,15592389,H?,684,France,Male,27,71725.73,134603.88,1,1,2,1,0
10,15767821,Bearce,528,France,Male,31,80181.12,102016.72,2,0,6,0,0
11,15737173,Andrews,497,Spain,Male,24,76390.01,0.0,2,0,3,0,0
12,15632264,Kay,476,France,Female,34,26260.98,0.0,2,0,10,0,0
13,15691483,Chin,549,France,Female,25,190857.79,0.0,2,0,5,0,0
14,15600882,Scott,635,Spain,Female,35,65951.65,0.0,2,1,7,1,0
15,15643966,Goforth,616,Germany,Male,45,64327.26,143129.41,2,1,3,1,0
16,15737452,Romeo,653,Germany,Male,58,5097.67,132602.88,1,0,1,0,1
17,15788218,Henderson,549,Spain,Female,24,14406.41,0.0,2,1,9,1,0
18,15661507,Muldrow,587,Spain,Male,45,158684.81,0.0,1,0,6,0,0
19,15568982,Hao,726,France,Female,24,54724.03,0.0,2,1,6,1,0
20,15577657,McDonald,732,France,Male,41,170886.17,0.0,2,1,8,1,0
21,15597945,Dellucci,636,Spain,Female,32,138555.46,0.0,2,0,8,0,0
22,15699309,Gerasimov,510,Spain,Female,38,118913.53,0.0,1,0,4,0,1
23,15725737,Mosman,669,France,Male,46,8487.75,0.0,2,1,3,1,0
